F46,460743
"F46,F24",105387
"F46,F15",53168
"F46,F12",109133
"F46,F21",55943
"F46,F36",77734
"F46,F19",56293
"F46,F37",56025
"F46,F16",80817
"F46,F20",63083
"F46,F11",56370
F1,972690
"F1,F25",130487
"F1,F24",146303
"F1,F15",113597
"F1,F0",111148
"F1,F12",131470
"F1,F17",182456
"F1,F17,F5",65818
"F1,F7",104031
"F1,F2",76474
"F1,F5",156588
"F1,F19",99961
"F1,F3",62445
"F1,F13",100708
"F1,F16",211548
"F1,F16,F11",55296
"F1,F26",143983
"F1,F10",107747
"F1,F8",110066
"F1,F14",116695
"F1,F6",82922
"F1,F11",100112
F58,62359
F11,1379004
F9,970548
"F9,F24",72955
"F9,F25",86628
"F9,F15",168104
"F9,F0",175226
"F9,F12",190529
"F9,F12,F0",93006
"F9,F12,F2",62210
"F9,F17",82857
"F9,F7",88535
"F9,F2",169261
"F9,F2,F11",71947
"F9,F19",164758
"F9,F19,F15",50966
"F9,F19,F11",82916
"F9,F5",92348
"F9,F13",71935
"F9,F3",137421
"F9,F16",144577
"F9,F26",61310
"F9,F8",134656
"F9,F10",144805
"F9,F10,F11",51581
"F9,F6",209683
"F9,F6,F15",61718
"F9,F6,F12",82423
"F9,F14",133762
"F9,F11",258747
F51,59007
F3,1278401
"F3,F11",297225
F32,385457
"F32,F34",52331
"F32,F22",55829
"F32,F0",73848
"F32,F2",73652
"F32,F13",73998
"F32,F1",65791
"F32,F18",73908
"F32,F20",76720
"F32,F14",55690
"F32,F11",97436
F0,1270233
"F0,F3",165428
"F0,F3,F11",51468
"F0,F11",117734
F45,375461
"F45,F29",55945
"F45,F34",80482
"F45,F15",56116
"F45,F30",69849
"F45,F38",59604
"F45,F33",77528
F18,955794
"F18,F24",219046
"F18,F24,F3",51563
"F18,F15",151055
"F18,F15,F5",51545
"F18,F9",58471
"F18,F0",200114
"F18,F12",80905
"F18,F17",149050
"F18,F7",51255
"F18,F2",86511
"F18,F19",74400
"F18,F5",154659
"F18,F3",158707
"F18,F3,F11",51773
"F18,F13",193832
"F18,F13,F14",51196
"F18,F1",103773
"F18,F16",93350
"F18,F26",82356
"F18,F10",120643
"F18,F10,F0",51649
"F18,F8",132558
"F18,F14",112870
"F18,F6",183473
"F18,F6,F15",61564
"F18,F11",124954
F39,358555
"F39,F29",101204
"F39,F34",56407
"F39,F24",52656
"F39,F15",52166
"F39,F12",73981
"F39,F2",52157
"F39,F14",62143
"F39,F33",65923
"F39,F20",52205
F21,919953
"F21,F24",89459
"F21,F25",170977
"F21,F25,F2",65776
"F21,F15",121184
"F21,F0",138662
"F21,F9",123541
"F21,F12",179701
"F21,F17",82315
"F21,F2",135760
"F21,F7",117897
"F21,F5",61586
"F21,F3",131361
"F21,F13",65558
"F21,F16",90678
"F21,F26",179305
"F21,F8",94532
"F21,F6",95844
"F21,F14",82332
"F21,F11",148374
F8,1258881
"F8,F0",235374
"F8,F0,F3",51931
"F8,F3",190572
"F8,F3,F11",62270
"F8,F11",166084
F29,918970
"F29,F24",61136
"F29,F25",104617
"F29,F15",69331
"F29,F0",86076
"F29,F9",56125
"F29,F12",69779
"F29,F17",72524
"F29,F2",94417
"F29,F21",82207
"F29,F5",72711
"F29,F3",82780
"F29,F1",75636
"F29,F26",106598
"F29,F8",65958
"F29,F6",117534
"F29,F11",155852
F2,1223844
"F2,F0",148179
"F2,F3",103074
"F2,F8",275651
"F2,F11",195353
F43,354152
"F43,F24",87598
"F43,F46",98284
"F43,F12",55950
"F43,F5",60250
F12,1166389
"F12,F0",210528
"F12,F2",184268
"F12,F3",133588
"F12,F8",121368
"F12,F11",193142
F44,351743
"F44,F24",73728
"F44,F22",55888
"F44,F46",63103
"F44,F0",56049
"F44,F21",87660
"F44,F18",77840
"F44,F43",57139
F20,908774
"F20,F29",191528
"F20,F25",162742
"F20,F24",82636
"F20,F15",72476
"F20,F9",106376
"F20,F9,F6",65234
"F20,F0",159539
"F20,F17",90620
"F20,F2",89575
"F20,F7",125329
"F20,F21",82273
"F20,F19",82083
"F20,F13",100445
"F20,F3",75922
"F20,F1",83027
"F20,F26",141415
"F20,F16",93314
"F20,F10",82843
"F20,F18",61806
"F20,F8",107104
"F20,F6",106999
"F20,F14",89835
"F20,F11",75511
F41,315320
"F41,F25",69856
"F41,F17",55904
"F41,F45",80929
"F41,F2",73609
"F41,F21",53398
"F41,F36",80626
"F41,F20",80271
F28,877595
"F28,F29",86782
"F28,F24",134591
"F28,F15",61785
"F28,F0",111244
"F28,F9",61718
"F28,F17",72239
"F28,F7",66196
"F28,F21",120600
"F28,F19",156872
"F28,F5",109944
"F28,F13",123316
"F28,F3",180517
"F28,F1",68826
"F28,F26",130392
"F28,F16",68674
"F28,F10",82776
"F28,F8",193511
"F28,F8,F3",90652
"F28,F6",86836
"F28,F14",82443
"F28,F11",158018
F14,1165652
"F14,F0",157986
"F14,F12",133576
"F14,F2",217341
"F14,F2,F8",51545
"F14,F3",214415
"F14,F8",202967
"F14,F11",154680
F22,854773
"F22,F29",69683
"F22,F24",89883
"F22,F25",166142
"F22,F15",152313
"F22,F0",138497
"F22,F9",66347
"F22,F12",66393
"F22,F17",93411
"F22,F2",106717
"F22,F5",176343
"F22,F19",65666
"F22,F28",130362
"F22,F3",89435
"F22,F1",89588
"F22,F26",89109
"F22,F8",134278
"F22,F10",103262
"F22,F6",127754
"F22,F14",158803
"F22,F20",117958
"F22,F11",123780
F5,1152257
"F5,F0",92284
"F5,F12",154872
"F5,F12,F3",51404
"F5,F2",137973
"F5,F3",185882
"F5,F3,F11",66021
"F5,F8",152096
"F5,F14",189248
"F5,F11",196539
F42,305340
"F42,F29",55956
"F42,F34",81082
"F42,F24",56259
"F42,F12",60116
"F42,F30",56094
"F42,F38",55884
"F42,F43",56275
"F42,F20",67196
F24,1146440
"F24,F0",172720
"F24,F12",88996
"F24,F2",121981
"F24,F5",125003
"F24,F3",169591
"F24,F8",169188
"F24,F14",168768
"F24,F14,F8",61926
F48,291223
"F48,F24",60192
"F48,F13",66940
"F48,F18",78042
"F48,F8",77961
"F48,F20",73590
F4,848052
"F4,F29",65744
"F4,F25",82565
"F4,F25,F2",61919
"F4,F24",69623
"F4,F22",154993
"F4,F15",100459
"F4,F0",143885
"F4,F9",93121
"F4,F12",66563
"F4,F17",117125
"F4,F17,F2",61944
"F4,F2",241434
"F4,F2,F11",51684
"F4,F7",76382
"F4,F21",72779
"F4,F5",103298
"F4,F19",75865
"F4,F28",72340
"F4,F13",86294
"F4,F3",68709
"F4,F1",103339
"F4,F16",159792
"F4,F16,F2",52022
"F4,F26",89280
"F4,F10",82457
"F4,F8",99452
"F4,F18",69801
"F4,F6",132441
"F4,F6,F12",56105
"F4,F6,F2",51580
"F4,F14",88990
"F4,F11",148675
F47,273358
"F47,F24",101935
"F47,F46",56034
"F47,F3",62690
"F47,F1",60241
F27,838316
"F27,F29",151380
"F27,F29,F11",65482
"F27,F24",170796
"F27,F24,F8",61827
"F27,F22",66262
"F27,F15",160587
"F27,F0",106707
"F27,F9",65840
"F27,F12",93202
"F27,F7",131862
"F27,F7,F0",65864
"F27,F2",107112
"F27,F2,F8",61852
"F27,F21",52521
"F27,F19",111401
"F27,F28",101500
"F27,F28,F8",65664
"F27,F13",121663
"F27,F3",93043
"F27,F1",61278
"F27,F26",88891
"F27,F4",113485
"F27,F18",72460
"F27,F8",168839
"F27,F10",82497
"F27,F6",102735
"F27,F14",102460
"F27,F11",200809
F16,1138091
"F16,F24",65761
"F16,F0",86928
"F16,F12",271394
"F16,F12,F11",86472
"F16,F2",155739
"F16,F5",127957
"F16,F3",136885
"F16,F8",94852
"F16,F14",123189
"F16,F14,F12",61431
"F16,F11",186233
F31,773114
"F31,F29",139836
"F31,F25",97315
"F31,F22",86817
"F31,F0",69871
"F31,F2",55802
"F31,F21",69883
"F31,F19",118056
"F31,F5",114689
"F31,F28",169694
"F31,F28,F29",66372
"F31,F13",65661
"F31,F3",186022
"F31,F1",104500
"F31,F26",82605
"F31,F4",69533
"F31,F16",90347
"F31,F10",62049
"F31,F8",65989
"F31,F20",82451
"F31,F14",69730
"F31,F11",111735
F13,1104712
"F13,F24",154937
"F13,F0",131641
"F13,F12",166088
"F13,F2",90339
"F13,F5",159078
"F13,F5,F14",76159
"F13,F3",148314
"F13,F16",176081
"F13,F16,F5",55667
"F13,F8",58368
"F13,F14",249984
"F13,F14,F0",55422
"F13,F14,F3",65737
"F13,F11",178187
F49,216260
"F49,F29",64353
"F49,F18",55974
F15,1102715
"F15,F24",109418
"F15,F0",133150
"F15,F12",107067
"F15,F2",117225
"F15,F5",179639
"F15,F13",172012
"F15,F3",170696
"F15,F16",200549
"F15,F16,F3",61264
"F15,F8",76845
"F15,F14",129431
"F15,F11",178734
F40,205889
"F40,F16",74087
F35,645984
"F35,F29",65834
"F35,F25",73039
"F35,F24",70003
"F35,F31",145636
"F35,F17",69598
"F35,F7",56107
"F35,F19",97854
"F35,F28",52155
"F35,F13",93225
"F35,F3",65774
"F35,F26",72699
"F35,F8",126026
"F35,F6",76799
"F35,F11",66079
F54,120809
F36,632039
"F36,F29",74155
"F36,F25",100236
"F36,F22",83467
"F36,F31",134904
"F36,F12",72643
"F36,F17",73645
"F36,F2",73938
"F36,F7",65820
"F36,F19",65838
"F36,F5",55209
"F36,F28",62847
"F36,F3",86714
"F36,F1",59014
"F36,F16",56015
"F36,F8",79707
"F36,F35",108380
"F36,F20",80980
"F36,F20,F25",52158
"F36,F11",77525
F10,1070996
"F10,F24",55311
"F10,F0",208911
"F10,F15",89429
"F10,F12",100164
"F10,F2",134116
"F10,F5",134780
"F10,F13",217569
"F10,F13,F0",55368
"F10,F13,F3",55479
"F10,F13,F14",65688
"F10,F3",172711
"F10,F16",190917
"F10,F8",162752
"F10,F8,F0",55909
"F10,F14",241448
"F10,F14,F2",51349
"F10,F14,F3",66046
"F10,F14,F8",61949
"F10,F11",226900
F34,613039
"F34,F29",86712
"F34,F24",95103
"F34,F25",72544
"F34,F0",70007
"F34,F12",127329
"F34,F21",110782
"F34,F5",70170
"F34,F28",78129
"F34,F13",51715
"F34,F1",69746
"F34,F26",93133
"F34,F35",135272
"F34,F11",69448
F7,1066216
"F7,F24",100108
"F7,F15",92966
"F7,F0",186923
"F7,F12",134616
"F7,F2",165891
"F7,F2,F8",75855
"F7,F5",113506
"F7,F13",68877
"F7,F3",123218
"F7,F16",161451
"F7,F16,F11",61922
"F7,F8",179992
"F7,F10",197516
"F7,F10,F0",55823
"F7,F14",172426
"F7,F11",212891
F55,75115
F17,1048961
"F17,F24",76162
"F17,F15",136058
"F17,F0",154771
"F17,F12",76302
"F17,F7",121536
"F17,F2",220512
"F17,F2,F8",76006
"F17,F2,F11",72278
"F17,F5",206789
"F17,F5,F11",61732
"F17,F3",161785
"F17,F13",55321
"F17,F16",134971
"F17,F10",134595
"F17,F8",217643
"F17,F14",137679
"F17,F11",199564
F50,74136
F33,594502
"F33,F29",100904
"F33,F24",77249
"F33,F15",135297
"F33,F9",110626
"F33,F36",94573
"F33,F19",86268
"F33,F28",74053
"F33,F3",72721
"F33,F16",65839
"F33,F4",76786
"F33,F20",66463
F53,70071
F30,548437
"F30,F29",94007
"F30,F34",97462
"F30,F24",62348
"F30,F22",131222
"F30,F7",61783
"F30,F3",52764
"F30,F26",100537
"F30,F18",55407
"F30,F10",62294
"F30,F8",65689
"F30,F35",74237
"F30,F6",74457
"F30,F33",73616
F6,1026953
"F6,F15",158285
"F6,F0",182194
"F6,F12",235541
"F6,F12,F0",61953
"F6,F17",119958
"F6,F17,F14",61595
"F6,F7",124579
"F6,F2",117861
"F6,F5",196608
"F6,F3",120648
"F6,F13",89117
"F6,F16",151369
"F6,F16,F12",51544
"F6,F8",107712
"F6,F14",148130
"F6,F11",86024
F23,510672
"F23,F24",65954
"F23,F25",182188
"F23,F25,F15",61845
"F23,F15",127658
"F23,F2",65656
"F23,F13",86694
"F23,F27",116962
"F23,F1",61457
"F23,F16",51768
"F23,F26",61871
"F23,F4",86486
"F23,F18",66023
"F23,F35",65635
"F23,F14",62136
"F23,F33",69027
"F23,F11",88808
F19,1022090
"F19,F24",156702
"F19,F15",71629
"F19,F0",145344
"F19,F12",55259
"F19,F17",144996
"F19,F17,F10",51827
"F19,F7",114316
"F19,F7,F11",61727
"F19,F2",107139
"F19,F5",92895
"F19,F13",169382
"F19,F13,F16",51553
"F19,F3",144299
"F19,F16",148055
"F19,F10",161777
"F19,F14",117023
"F19,F11",247997
F57,65720
F25,989830
"F25,F24",77052
"F25,F15",164762
"F25,F15,F13",61944
"F25,F0",82547
"F25,F17",72597
"F25,F7",89194
"F25,F2",200085
"F25,F5",176881
"F25,F19",61944
"F25,F13",128137
"F25,F3",76858
"F25,F10",82909
"F25,F6",84190
"F25,F14",70125
"F25,F11",88698
F59,64002
F37,496388
"F37,F29",93547
"F37,F24",103981
"F37,F12",76821
"F37,F2",55686
"F37,F30",69338
"F37,F13",97485
"F37,F27",62821
"F37,F16",73548
"F37,F18",52392
"F37,F8",98257
"F37,F35",69991
"F37,F20",51814
F56,63090
F38,468998
"F38,F29",75342
"F38,F12",55780
"F38,F2",72919
"F38,F19",56206
"F38,F8",90398
"F38,F20",62115
F26,981661
"F26,F24",171723
"F26,F25",130395
"F26,F15",81948
"F26,F0",93295
"F26,F12",86055
"F26,F17",106733
"F26,F2",103105
"F26,F7",143603
"F26,F5",89222
"F26,F19",155429
"F26,F13",102748
"F26,F13,F24",61617
"F26,F3",136663
"F26,F16",120188
"F26,F8",152259
"F26,F10",62307
"F26,F14",123528
"F26,F6",68881
"F26,F11",88991
